Fit #1
GN1 Pars,Fit Value,Error
pB (%),0.081,0.011
pC (%),0.062,0.009
dwB (ppm),35.82,0.65
dwC (ppm),1.66,24.96
kexAB (s^-1),1425,498
kexAC (s^-1),41211,3622
kexBC (s^-1),1697,1294
R1 (s^-1),1.81,0.02
R2 (s^-1),7.76,0.19
Red. Chi-sq,0.99
