Fit #1
TN3 Pars,Fit Value,Error
pB (%),0.081,0.011
pC (%),0.062,0.009
dwB (ppm),18.72,0.68
dwC (ppm),65.71,2.73
kexAB (s^-1),1425,498
kexAC (s^-1),41211,3622
kexBC (s^-1),1697,1294
R1 (s^-1),1.90,0.02
R2 (s^-1),6.34,0.78
Red. Chi-sq,0.99
