Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
1305.0,500.0,3.349995044982176,0.1451333471651494,13.19586814777327,1.1337962213888637,3.4045171544853807,13.621800319423253,-0.054522109503204685,-0.42593217164998265
1218.0,500.0,3.5592641933382314,0.1355340842487746,13.377936867952663,0.9398063514530913,3.6107597115395618,13.735011734730435,-0.05149551820133036,-0.3570748667777721
783.0,500.0,5.48760297069904,0.15063439535771134,14.274292909983135,0.5200435586195667,5.513332677954002,14.36312101920305,-0.025729707254962264,-0.08882810921991435
696.0,500.0,6.1554948494511095,0.1450257875660857,14.39221472737151,0.4260370352045375,6.193970112512988,14.505242122558919,-0.038475263061878096,-0.11302739518740879
609.0,500.0,6.766772473682187,0.15219319061236602,13.979856156424784,0.3779754415223858,7.038598219435615,14.654941919821319,-0.27182574575342766,-0.6750857633965346
522.0,500.0,7.8427814432400895,0.15610157958276163,14.3149707754583,0.3262423108268785,8.081495716512688,14.81386832888454,-0.2387142732725982,-0.4988975534262394
1131.0,500.0,3.8030197800974612,0.13349610532722958,13.516330758973092,0.8165481516731667,3.857860327368818,13.851770863397155,-0.05484054727135668,-0.33544010442406247
1044.0,500.0,4.120614301286534,0.13706574523624634,13.781675766030222,0.7346373056355,4.156209572983007,13.972457309933766,-0.03559527169647314,-0.19078154390354385
957.0,500.0,4.452982757556051,0.1381657898475786,13.788555289349324,0.6443217917120387,4.519233137702361,14.097507047122106,-0.06625038014631013,-0.30895175777278183
870.0,500.0,4.923841593733027,0.1420093835878426,14.064763005971589,0.5719569933383948,4.964247514493502,14.227501892426478,-0.040405920760475666,-0.1627388864548891
348.0,500.0,10.635740496560876,0.20120589489934007,14.865223141431304,0.2986732496828989,10.839418910044275,15.167566637260675,-0.20367841348339866,-0.3023434958293709
435.0,500.0,9.21830390417452,0.17709140700908013,14.754012780007331,0.3111318929742529,9.349170732033292,14.983932709872404,-0.13086682785877102,-0.2299199298650727
-1740.0,500.0,3.408824937230728,0.14782810023999374,21.62505286927954,1.9380855253864142,3.560067676977229,23.60790568445206,-0.15124273974650082,-1.9828528151725209
-1827.0,500.0,3.4233226595272943,0.15014644267139265,23.700283425361718,2.154859103630108,3.368645794264411,22.91557658333855,0.05467686526288329,0.7847068420231693
-1914.0,500.0,3.115909378407751,0.13955589930501272,20.865282430067374,2.1845499924665583,3.2068108913118474,22.288216898038733,-0.0909015129040962,-1.4229344679713591
-2001.0,500.0,3.050307376263039,0.1514800698067034,21.399250125868832,2.5775854737511446,3.0705424595167194,21.743570383453793,-0.020235083253680397,-0.3443202575849611
10.0,500.0,16.035849311343473,0.22921988186753353,16.041501793306487,0.22931156982028053,16.062331146809402,16.067994221506606,-0.02648183546592975,-0.026492428200118212
87.0,500.0,15.281273101360112,0.22905558055584715,15.686263911807416,0.23599046731275597,15.422543360792716,15.831811269614601,-0.14127025943260385,-0.1455473578071853
174.0,500.0,13.779349747645519,0.20547492045410687,15.217424063606481,0.23035875522078106,14.11017473118216,15.588313275949345,-0.33082498353664214,-0.3708892123428633
261.0,500.0,12.363076969605878,0.20310393211116784,15.212832508866686,0.2584465039485473,12.485004826755986,15.367983756244485,-0.12192785715010857,-0.15515124737779828
-1653.0,500.0,3.970637522966592,0.13950341506210004,26.55119029395243,1.6642249624477712,3.7839574672205534,24.324165180442485,0.1866800557460384,2.2270251135099457
-1566.0,500.0,4.189709228987724,0.14676701063087103,26.604878966731327,1.5864668471215924,4.040032850394572,24.98696352773343,0.14967637859315186,1.6179154389978976
-1305.0,500.0,5.169953688784919,0.14317622652538042,27.41356706902468,1.1185069992389245,4.935152084822071,25.57927345870651,0.23480160396284866,1.83429361031817
-1218.0,500.0,5.253367640502477,0.15876070807968198,25.125012804520473,1.1008619908524908,5.2469248574444665,25.080337928289055,0.006442783058010271,0.044674876231418637
-1479.0,500.0,4.327629306342194,0.14363509011942208,25.528175379141683,1.4004082307830974,4.323588631868934,25.488779756626574,0.004040674473260175,0.03939562251510864
-1392.0,500.0,4.682350726889521,0.15622964291555583,26.21139690617442,1.3671118621568663,4.625441486825992,25.713403723157064,0.056909240063528266,0.49799318301735696
-957.0,500.0,6.443784879679654,0.13837319087268155,23.07245394245205,0.6452889848228996,6.286088817160637,22.33705475528511,0.15769606251901713,0.7353991871669407
-870.0,500.0,6.584652474257893,0.15636321000575087,20.753844908373537,0.6297684646191621,6.737585263916249,21.369797012001534,-0.15293278965835633,-0.6159521036279969
-1131.0,500.0,5.678624580344003,0.1540489802166247,24.988737606772304,0.942262770548136,5.565000326236189,24.29373849462926,0.11362425410781452,0.6949991121430443
-1044.0,500.0,5.854771200846182,0.16406391961681113,23.076312803503647,0.8793406087826859,5.903898354058231,23.339621768169007,-0.049127153212048746,-0.26330896466535947
-174.0,500.0,15.460221495381026,0.2269720575297732,17.101856103479747,0.25445928158485887,15.117031603065286,16.717104542445004,0.34318989231574015,0.3847515610347436
-261.0,500.0,13.884335773832136,0.20936680770535704,17.148609997103733,0.26641591293614353,13.824432111846168,17.072383545685177,0.059903661985968526,0.076226451418556
-10.0,500.0,16.48005927534723,0.23069205767213818,16.485889441295846,0.23078433449520702,16.127150203566522,16.132839205886427,0.35290907178070796,0.3530502354094196
-87.0,500.0,16.260280514157248,0.23468220749995283,16.694911753034397,0.2417874460142214,15.968805776803922,16.39461232653296,0.29147473735332596,0.3002994265014358
-522.0,500.0,9.626181500256306,0.17928828872329053,18.042162757018545,0.3747010489811989,9.812014411278561,18.430541647748747,-0.18583291102225452,-0.38837889073020193
-609.0,500.0,8.574056726722107,0.17703667279966456,18.468289973671496,0.43967482577811423,8.796851478271018,19.021606086217254,-0.2227947515489106,-0.5533161125457582
-348.0,500.0,12.441570372682243,0.17884750797359172,17.545825902823882,0.2654841023961272,12.389850597557475,17.469052241112273,0.05171977512476822,0.07677366171160926
-435.0,500.0,11.009268973167776,0.1835893986853782,17.900559309721583,0.32254821455034105,11.018976146859034,17.917613843179755,-0.009707173691257509,-0.01705453345817176
-696.0,500.0,7.922477665553918,0.18441738537071153,19.58301653485535,0.5417563139776658,7.9636410250873,19.703940654275623,-0.041163359533381794,-0.12092411942027326
-783.0,500.0,7.171748466049353,0.17212081194512655,20.08856271572876,0.5942223178436291,7.286984173637626,20.48639740223538,-0.1152357075882735,-0.39783468650662
1914.0,500.0,2.6453414859864086,0.13993772644872,13.49920839834693,2.1905269557340605,2.6075521411685734,12.907669714935977,0.037789344817835246,0.5915386834109526
2001.0,500.0,2.5768669643468627,0.14152533326980563,13.34318618294153,2.408195637020346,2.5458130607637313,12.814772835355349,0.031053903583131426,0.5284133475861807
1740.0,500.0,2.687878153653045,0.14545174446753875,12.173152157862678,1.9069305506672203,2.7585436017724874,13.09960444888782,-0.07066544811944242,-0.9264522910251429
1827.0,500.0,2.651670559815814,0.14170634872673105,12.625751639498873,2.033729272323005,2.6779267269869464,13.002572693987489,-0.02625616717113255,-0.3768210544886159
1566.0,500.0,2.862342925940375,0.14931685352396687,12.256813793780047,1.6140291800864521,2.9589033028089706,13.300575848952487,-0.09656037686859564,-1.04376205517244
1653.0,500.0,2.8004990039877007,0.12782103565860925,12.591863692955165,1.524858428550229,2.8513835423412397,13.198897713540923,-0.05088453835353901,-0.6070340205857576
1392.0,500.0,3.2004376604767266,0.1406628238849862,13.243685440090905,1.2308919838060979,3.231080623445228,13.511831467848998,-0.03064296296850122,-0.2681460277580925
1479.0,500.0,3.008892697335997,0.13337351633394073,12.67080466317098,1.3003603081060677,3.084178699541753,13.404825417180582,-0.07528600220575621,-0.7340207540096024
3197.0,800.0,2.5198008730581503,0.13275028341027026,12.34385833773456,2.252774176273146,2.480872287312189,11.683239690192359,0.038928585745961364,0.6606186475422007
